Company Name, Symbol, Market, Price, Shares, Offer Amount, Date Priced,
 ACQUITY GROUP LTD,AQ,American Stock Exchange,$6,5555556,$33333336,4/27/2012,
 EDGEN GROUP INC.,EDG,New York Stock Exchange,$11,15000000,$165000000,4/27/2012,
 ARES COMMERCIAL REAL ESTATE CORP,ACRE,New York Stock Exchange,$18.50,7700000,$142450000,4/26/2012,
 ENVIVIO INC,ENVI,Nasdaq National Market,$9,7755000,$69795000,4/25/2012,
 CLEARSIGN COMBUSTION CORP,CLIR,Nasdaq SmallCap Market,$4,3000000,$12000000,4/25/2012,
 INFOBLOX INC,BLOX,New York Stock Exchange,$16,7500000,$120000000,4/20/2012,
 GREEN BALLAST INC.,GBLL,OTCBB,$0.48,24450400,$11736192,4/20/2012,
 MIDSTATES PETROLEUM COMPANY INC.,MPO,New York Stock Exchange,$13,24000000,$312000000,4/20/2012,
 PROOFPOINT INC,PFPT,Nasdaq National Market,$13,6329421,$82282473,4/20/2012,
 SPLUNK INC,SPLK,Nasdaq National Market,$17,13500000,$229500000,4/19/2012,
 TUMI HOLDINGS INC.,TUMI,New York Stock Exchange,$18,18779865,$338037570,4/19/2012,
 SANDRIDGE ENERGY INC,SDR,New York Stock Exchange,$21,26000000,$546000000,4/18/2012,
 DIGITAL CINEMA DESTINATIONS CORP.,DCIN,Nasdaq SmallCap Market,$6.10,2200000,$13420000,4/17/2012,
 MRC GLOBAL INC.,MRC,New York Stock Exchange,$21,22727273,$477272733,4/12/2012,
 FORUM ENERGY TECHNOLOGIES INC.,FET,New York Stock Exchange,$20,18947366,$378947320,4/12/2012,
 OAKTREE CAPITAL GROUP LLC,OAK,New York Stock Exchange,$43,8843023,$380249989,4/12/2012,
 ERICKSON AIR-CRANE INC,EAC,Nasdaq National Market,$8,4800000,$38400000,4/11/2012,
 MISTER GOODY INC.,MSGO,OTCBB,$0.35,400000,$140000,4/10/2012,
 RETAIL PROPERTIES OF AMERICA INC.,RPAI,New York Stock Exchange,$8,31800000,$254400000,4/5/2012,
 
